Date,HIGH_T,LOW_T,PRECIP,BB_COUNT
1-Apr-17,46.00,37.00,0.00,606
2-Apr-17,62.10,41.00,0.00,2021
3-Apr-17,63.00,50.00,0.03,2470
4-Apr-17,51.10,46.00,1.18,723
5-Apr-17,63.00,46.00,0.00,2807
6-Apr-17,48.90,41.00,0.73,461
7-Apr-17,48.00,43.00,0.01,1222
8-Apr-17,55.90,39.90,0.00,1674
9-Apr-17,66.00,45.00,0.00,2375
10-Apr-17,73.90,55.00,0.00,3324
11-Apr-17,80.10,62.10,0.00,3887
12-Apr-17,73.90,57.90,0.02,2565
13-Apr-17,64.00,48.90,0.00,3353
14-Apr-17,64.90,48.90,0.00,2942
15-Apr-17,64.90,52.00,0.00,2253
16-Apr-17,84.90,62.10,0.01,2877
17-Apr-17,73.90,64.00,0.01,3152
18-Apr-17,66.00,50.00,0.00,3415
19-Apr-17,52.00,45.00,0.01,1965
20-Apr-17,64.90,50.00,0.17,1567
21-Apr-17,53.10,48.00,0.29,1426
22-Apr-17,55.90,52.00,0.11,1318
23-Apr-17,64.90,46.90,0.00,2520
24-Apr-17,60.10,50.00,0.01,2544
25-Apr-17,54.00,50.00,0.91,611
26-Apr-17,59.00,54.00,0.34,1247
27-Apr-17,68.00,59.00,0.00,2959
28-Apr-17,82.90,57.90,0.00,3679
29-Apr-17,84.00,64.00,0.06,3315
30-Apr-17,64.00,54.00,0.00,2225
1-May-17,72.00,50.00,0.00,3084
2-May-17,73.90,66.90,0.00,3423
3-May-17,64.90,57.90,0.00,3342
4-May-17,63.00,50.00,0.00,3019
5-May-17,59.00,52.00,3.02,513
6-May-17,64.90,57.00,0.18,1892
7-May-17,54.00,48.90,0.01,3539
8-May-17,57.00,45.00,0.00,2886
9-May-17,61.00,48.00,0.00,2718
10-May-17,70.00,51.10,0.00,2810
11-May-17,61.00,51.80,0.00,2657
12-May-17,62.10,51.10,0.00,2640
13-May-17,51.10,45.00,1.31,151
14-May-17,64.90,46.00,0.02,1452
15-May-17,66.90,55.90,0.00,2685
16-May-17,78.10,57.90,0.00,3666
17-May-17,90.00,66.00,0.00,3535
18-May-17,91.90,75.00,0.00,3190
19-May-17,90.00,75.90,0.00,2952
20-May-17,64.00,55.90,0.01,2161
21-May-17,66.90,55.00,0.00,2612
22-May-17,61.00,54.00,0.59,768
23-May-17,68.00,57.90,0.00,3174
